Tempo,Luz
1008,
1721,49.80
1737,58.59
1753,68.36
1753,75.20
1777,71.29
1785,73.24
1793,78.12
1805,83.98
1809,100.59
1824,169.92
1840,280.27
1840,166.02
1856,125.98
1871,109.37
1887,100.59
1887,83.98
1902,71.29
1918,66.41
1918,63.48
1937,59.57
1937,53.71
1953,52.73
1969,49.80
1969,48.83
1984,46.88
2000,43.95
2000,42.97
2015,41.99
2031,44.92
2040,43.95
2040,47.85
2056,54.69
2072,74.22
2087,71.29
2087,82.03
2103,115.23
2119,288.09
2119,189.45
2134,132.81
2150,114.26
2165,101.56
2165,88.87
2181,74.22
2197,68.36
2197,62.50
2212,59.57
2228,55.66
2228,53.71
2248,51.76
2260,49.80
2272,46.88
2280,43.95
2292,43.95
2300,42.97
2305,43.95
2320,42.97
2320,45.90
2336,52.73
2354,71.29
2366,70.31
2374,78.12
2378,98.63
2394,250.00
2394,234.38
2409,140.63
2425,120.12
2441,102.54
2441,94.73
2456,80.08
2472,69.34
2472,64.45
2487,61.52
2503,57.62
2503,54.69
2519,52.73
2534,50.78
2534,48.83
2550,44.92
2571,43.95
2578,43.95
2578,43.95
2594,42.97
2610,44.92
2610,49.80
2625,63.48
2641,72.27
2651,76.17
2665,90.82
2669,207.03
2685,278.32
2685,151.37
2701,123.05
2716,106.45
2716,100.59
2732,82.03
2747,72.27
2764,64.45
2776,61.52
2785,57.62
2785,54.69
2800,51.76
2816,50.78
2816,47.85
2832,44.92
2832,42.97
2847,43.95
2863,43.95
2878,43.95
2878,44.92
2894,48.83
2910,59.57
2910,74.22
2925,75.20
2941,85.94
2941,154.30
2957,279.30
2972,166.99
2988,125.00
2988,107.42
3003,100.59
3019,83.01
3019,72.27
3035,66.41
3050,63.48
3050,59.57
3066,55.66
3082,51.76
3082,51.76
3097,49.80
3113,45.90
3113,43.95
3128,43.95
3144,43.95
3144,43.95
3160,43.95
3176,47.85
3189,55.66
3195,75.20
3200,71.29
3215,83.01
3231,124.02
3231,285.16
3247,182.62
3262,129.88
3262,111.33
3287,102.54
3301,87.89
3301,74.22
3317,68.36
3333,62.50
3333,59.57
3348,53.71
3348,53.71
3364,50.78
3380,48.83
3394,46.88
3400,45.90
3404,44.92
3420,42.97
3435,42.97
3435,43.95
3451,45.90
3467,51.76
3467,72.27
3482,72.27
3482,79.10
3498,101.56
3513,262.70
3529,215.82
3545,134.77
3545,117.19
3560,102.54
3576,92.77
3576,78.12
3591,68.36
3607,63.48
3607,61.52
3631,55.66
3639,52.73
3645,52.73
3661,51.76
3661,47.85
3677,44.92
3692,43.95
3692,42.97
3708,43.95
3723,42.97
3723,43.95
3739,49.80
3755,68.36
3755,73.24
3775,76.17
3788,92.77
3797,226.56
3802,265.63
3817,145.51
3833,121.09
3833,106.45
3849,99.61
3864,81.05
3864,70.31
3880,63.48
3896,62.50
3896,57.62
3911,52.73
3927,49.80
3927,50.78
3947,47.85
3957,44.92
3970,41.99
3978,41.99
3978,42.97
3994,42.97
4010,44.92
4010,47.85
4025,60.55
